Symbol	Timeframes	DateTime	Open	High	Low	Close	BaseReturn	MidReturn	HigherReturn	BaseMidCorr	BaseHigherCorr	MidHigherCorr	ZScore	SignalType	CorrelationState	PostSignal1Bar(%)	PostSignal5Bars(%)	PostSignal10Bars(%)
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 09:20	3039.53000	3040.29000	3037.95000	3039.16000	-0.55000	0.00000	0.00000	0.134	0.000	0.000	-0.457	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 09:25	3039.17000	3040.75000	3038.96000	3040.23000	1.07000	0.00000	0.00000	0.130	0.000	0.000	0.672	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 09:30	3040.23000	3041.91000	3040.19000	3041.74000	1.51000	0.00000	0.00000	0.101	0.000	0.000	0.959	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 09:35	3041.69000	3041.94000	3038.36000	3038.95000	-2.79000	0.00000	0.00000	0.062	0.000	0.000	-1.874	Divergence Warning	Diverging	0.02	-0.10	-0.18
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 09:40	3038.93000	3040.01000	3038.70000	3039.63000	0.68000	0.00000	0.00000	0.080	0.000	0.000	0.425	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 09:45	3039.46000	3039.46000	3035.64000	3037.02000	-2.61000	0.00000	0.00000	0.179	0.000	0.000	-1.624	Divergence Warning	Diverging	0.01	-0.15	-0.25
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 09:50	3036.94000	3038.13000	3036.19000	3037.22000	0.20000	0.00000	0.00000	0.185	0.000	0.000	0.155	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 09:55	3037.25000	3037.26000	3035.79000	3035.86000	-1.36000	0.00000	0.00000	0.179	0.000	0.000	-0.821	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 10:00	3035.82000	3037.01000	3034.94000	3035.87000	0.01000	0.00000	0.00000	0.178	0.000	0.000	0.090	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 10:05	3035.94000	3036.07000	3033.45000	3033.49000	-2.38000	0.00000	0.00000	0.156	0.000	0.000	-1.367	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 10:10	3033.51000	3033.53000	3031.46000	3032.53000	-0.96000	0.00000	0.00000	0.160	0.000	0.000	-0.426	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 10:15	3032.54000	3034.39000	3032.11000	3034.35000	1.82000	0.00000	0.00000	-0.079	0.000	0.000	1.306	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 10:20	3034.33000	3034.77000	3033.43000	3033.43000	-0.92000	0.00000	0.00000	-0.070	0.000	0.000	-0.384	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 10:25	3033.46000	3034.13000	3032.55000	3033.33000	-0.10000	0.00000	0.00000	-0.052	0.000	0.000	0.177	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 10:30	3033.44000	3033.93000	3031.54000	3031.87000	-1.46000	0.00000	0.00000	-0.027	0.000	0.000	-0.684	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 10:35	3031.89000	3032.53000	3028.18000	3029.33000	-2.54000	0.00000	0.00000	-0.025	0.000	0.000	-1.305	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 10:40	3029.47000	3030.31000	3027.38000	3028.02000	-1.31000	0.00000	0.00000	-0.035	0.000	0.000	-0.676	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 10:45	3028.17000	3029.09000	3027.83000	3028.33000	0.31000	0.00000	0.00000	-0.073	0.000	0.000	0.437	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.19 10:50	3028.33000	3028.34000	3026.40000	3027.16000	-1.17000	0.00000	0.00000	-0.033	0.000	0.000	-0.576	None	Diverging	0.00	0.00	0.00
